z=1	z=5	z=10	z=20	z=30	z=60	
6667.9391013262075	8595.953703645684	8666.85008963284	9136.255588231697	11611.423007731586	18139.303798784484	
6711.284322666577	8629.123751270869	8700.834681347751	9175.537068330545	11678.504187835086	18279.809065108744	
6754.827973370002	8662.284629740776	8734.787008586498	9214.874495909746	11745.558786681346	18420.118465189647	
6798.2653579326125	8695.440884334072	8768.726445166103	9254.060315818744	11812.55995766154	18560.67050190621	
6841.721352009821	8728.608253472688	8802.686243369477	9293.323372740968	11879.636686795415	18700.886786737832	
6885.131023981302	8761.775817201995	8836.638819590644	9332.610223212261	11946.754535469705	18841.234194972145	
6928.573218304681	8794.947185689804	8870.602752984752	9371.81789207049	12013.86016106713	18981.69692342478	
6972.139318039707	8828.121034458332	8904.574744595484	9411.072439203608	12080.920174214076	19122.194283536697	
7015.609002748934	8861.294262487407	8938.535797511186	9450.30127800713	12147.985476860302	19262.552011184493	
7059.042282749764	8894.466958393154	8972.5129082382	9489.584670772274	12215.087184631793	19403.09285622209	
7102.400203762602	8927.63503699541	9006.486873448997	9528.792845365495	12282.2127412783	19543.587472388066	
7145.823972053202	8960.804461955855	9040.443021687517	9568.028363820102	12349.259697089947	19684.070863829533	
7189.283622682328	8993.985750815003	9074.418898471195	9607.304173741948	12416.299024335747	19824.459886611487	
7232.836762832136	9027.150554794822	9108.370335731921	9646.507396248913	12483.39767338568	19964.855345712745	
7276.367318341766	9060.313794868725	9142.313529542042	9685.771949529755	12550.436388198495	20105.13493358141	
7319.633237946303	9093.490737492803	9176.28662904634	9725.037845257639	12617.527327890642	20245.466770120027	
7363.115372112856	9126.667159028306	9210.263145715384	9764.302163279854	12684.536369540023	20385.894620144103	
7406.635891249057	9159.855062150904	9244.241119772929	9803.592296269482	12751.510484087245	20526.528590381105	
7450.1338893735565	9193.018902892838	9278.195717087745	9842.85598759084	12818.544585967547	20666.75147186147	
7493.60917952592	9226.192704700969	9312.171029729785	9882.098730013271	12885.540625960259	20807.23943573726	
7537.101919472756	9259.355329869953	9346.11675996234	9921.336486777962	12952.567294804749	20947.598458798286	
7580.601477302385	9292.530872607667	9380.095921945684	9960.617074236026	13019.690146167217	21088.0462649725	
7624.0512740257645	9325.707896177579	9414.090365173897	9999.884489799919	13086.738698526651	21228.40344453985	
7667.50166889872	9358.881257349458	9448.067041142136	10039.127444760463	13153.836436924617	21368.728591008497	
7711.053970181253	9392.05389246411	9482.036003637346	10078.350431909572	13220.853896468936	21509.150653144123	
7754.433708174278	9425.230401033712	9516.014831874849	10117.60041087002	13287.929866199356	21649.654924583014	
7797.894256326226	9458.402847912548	9549.980261161394	10156.870083509191	13354.984427633037	21789.938178545875	
7841.324199357564	9491.574238444584	9583.94962607463	10196.112712505625	13422.024732917647	21930.253302922494	
7884.753020654926	9524.757561626808	9617.939682997825	10235.395530187583	13489.188154465415	22070.777178721135	
7928.2545006192	9557.927890458583	9651.891862088065	10274.639015464685	13556.209350695039	22211.122770581653	
7971.642988565976	9591.10667875116	9685.85687027851	10313.898498893828	13623.194969119819	22351.54670756543	
8015.159444143418	9624.276300626816	9719.830735135447	10353.150447053984	13690.256209641799	22491.974427307232	
8058.6356061640845	9657.449079088328	9753.793989675678	10392.370230929007	13757.358171837937	22632.36131147638	
8102.163028373192	9690.60679872341	9787.746975684506	10431.649239662986	13824.370344779387	22772.72143852045	
8145.518837005063	9723.791311073252	9821.726752064995	10470.982564313088	13891.517333771802	22913.03447335198	
8188.883419923383	9756.964421418244	9855.700404982337	10510.225191193433	13958.567565268899	23053.54356193268	
8232.397340048465	9790.12825580496	9889.654138408005	10549.461579673874	14025.639774332143	23194.097823552405	
8275.740265131179	9823.298042606104	9923.629718725118	10588.718065804193	14092.724667155171	23334.655070892135	
8319.242912125397	9856.468861205689	9957.611970487327	10627.959662594372	14159.793204253576	23475.098545911223	
8362.72413549661	9889.637776087395	9991.572213797223	10667.194345209382	14226.828214254912	23615.62540685539	
8406.14694436613	9922.808760500111	10025.537031925334	10706.44151994214	14293.821125644567	23755.944222693324	
8449.673841032114	9955.99498711894	10059.505855903064	10745.723631823303	14360.90272922741	23896.35026849218	
8493.098126473553	9989.173700549201	10093.495608797824	10784.983539163566	14427.967048237215	24036.853739456452	
8536.589026370342	10022.34958415248	10127.457726089071	10824.209068777394	14495.005083829035	24177.34372603328	
8580.076119638861	10055.520310281963	10161.41659438429	10863.437784714286	14562.110364181226	24317.724576997432	
8623.472801498163	10088.688782758003	10195.395580483828	10902.72393488592	14629.207587729066	24458.225094949907	
8666.88821308568	10121.87122045736	10229.368606844462	10942.048609681126	14696.21224281172	24598.810597735217	
8710.275503685009	10155.043441102798	10263.326246264909	10981.337437187722	14763.214621671843	24739.309826936587	
8753.747192017687	10188.225292196072	10297.297066071107	11020.577469618533	14830.226137410646	24879.693817353203	
8797.153101649254	10221.388460953578	10331.238749765304	11059.784555311777	14897.23320559794	25019.96069530922	
8840.575213125125	10254.565553316423	10365.221765953744	11099.021899164209	14964.311264684971	25160.540955963097	
